Team,Game Date,GP,W,L,T,OT,P,P%,RW,ROW,S/O Win,GF,GA,GF/GP,GA/GP,PP%,PK%,Net PP%,Net PK%,Shots/GP,SA/GP,FOW%
Philadelphia Flyers,12/30/2010,1,1,0,--,0,2,1,1,1,0,7,4,7,4,40,60,40,60,28,36,45.6
Philadelphia Flyers,12/31/2010,1,0,1,--,0,0,0,0,0,0,2,5,2,5,0,50,0,50,37,27,51.9
Philadelphia Flyers,1/2/2011,1,1,0,--,0,2,1,1,1,0,3,2,3,2,0,66.7,0,66.7,32,27,45
Philadelphia Flyers,1/6/2011,1,1,0,--,0,2,1,1,1,0,4,2,4,2,0,100,0,100,20,20,44.4
Philadelphia Flyers,1/8/2011,1,1,0,--,0,2,1,1,1,0,2,1,2,1,20,100,20,100,29,35,57.6
Philadelphia Flyers,1/11/2011,1,1,0,--,0,2,1,1,1,0,5,2,5,2,50,100,50,100,33,40,60
Philadelphia Flyers,1/13/2011,1,0,1,--,0,0,0,0,0,0,5,7,5,7,0,80,0,80,35,37,41.7
Philadelphia Flyers,1/14/2011,1,1,0,--,0,2,1,1,1,0,5,2,5,2,0,66.7,0,66.7,36,29,50.9
Philadelphia Flyers,1/16/2011,1,1,0,--,0,2,1,1,1,0,3,2,3,2,0,100,0,133.3,27,36,50.8
Philadelphia Flyers,1/18/2011,1,1,0,--,0,2,1,0,1,0,3,2,3,2,0,--,0,--,30,25,60.8
Philadelphia Flyers,1/20/2011,1,1,0,--,0,2,1,1,1,0,6,2,6,2,50,100,25,100,23,27,52.5
Philadelphia Flyers,1/22/2011,1,0,1,--,0,0,0,0,0,0,1,3,1,3,0,75,0,75,27,22,53.3
Philadelphia Flyers,1/23/2011,1,1,0,--,0,2,1,1,1,0,4,1,4,1,0,100,0,100,34,31,55.7
Philadelphia Flyers,1/25/2011,1,1,0,--,0,2,1,1,1,0,5,2,5,2,60,100,60,100,35,31,42.9
Philadelphia Flyers,2/1/2011,1,0,1,--,0,0,0,0,0,0,0,4,0,4,0,100,0,100,38,22,48.7
Philadelphia Flyers,2/3/2011,1,1,0,--,0,2,1,1,1,0,3,2,3,2,50,50,50,50,29,28,56.6
Philadelphia Flyers,2/5/2011,1,1,0,--,0,2,1,1,1,0,3,1,3,1,0,100,0,133.3,32,31,50
Philadelphia Flyers,2/10/2011,1,1,0,--,0,2,1,1,1,0,2,1,2,1,33.3,100,33.3,100,25,32,54.4
Philadelphia Flyers,2/13/2011,1,0,1,--,0,0,0,0,0,0,0,1,0,1,0,100,0,100,40,25,60.3
Philadelphia Flyers,2/15/2011,1,1,0,--,0,2,1,0,0,1,3,3,3,3,33.3,75,33.3,100,29,27,52.2
Philadelphia Flyers,2/16/2011,1,1,0,--,0,2,1,1,1,0,4,2,4,2,0,66.7,0,66.7,35,35,46.4
Philadelphia Flyers,2/18/2011,1,0,1,--,0,0,0,0,0,0,2,3,2,3,0,100,0,114.3,23,29,61.8
Philadelphia Flyers,2/20/2011,1,1,0,--,0,2,1,1,1,0,4,2,4,2,33.3,--,33.3,--,24,39,56.6
