Team,Game Date,GP,W,L,T,OT,P,P%,RW,ROW,S/O Win,GF,GA,GF/GP,GA/GP,PP%,PK%,Net PP%,Net PK%,Shots/GP,SA/GP,FOW%
Philadelphia Flyers,12/5/2022,1,1,0,--,0,2,1,1,1,0,5,3,5,3,66.7,80,66.7,80,34,32,48.9
Philadelphia Flyers,12/7/2022,1,0,1,--,0,0,0,0,0,0,1,4,1,4,33.3,75,33.3,75,30,27,46.4
Philadelphia Flyers,12/9/2022,1,0,0,--,1,1,0.5,0,0,0,1,2,1,2,--,100,--,100,28,34,39.4
Philadelphia Flyers,12/11/2022,1,0,0,--,1,1,0.5,0,0,0,4,5,4,5,0,0,0,0,41,29,46.7
Philadelphia Flyers,12/13/2022,1,0,1,--,0,0,0,0,0,0,2,3,2,3,0,100,-50,100,28,25,50
Philadelphia Flyers,12/15/2022,1,1,0,--,0,2,1,1,1,0,2,1,2,1,20,66.7,20,66.7,24,49,52.6
Philadelphia Flyers,12/17/2022,1,0,1,--,0,0,0,0,0,0,3,6,3,6,0,100,-25,200,32,34,48.2
Philadelphia Flyers,12/20/2022,1,1,0,--,0,2,1,1,1,0,5,3,5,3,0,100,0,200,39,33,55.8
Philadelphia Flyers,12/22/2022,1,0,1,--,0,0,0,0,0,0,3,4,3,4,20,75,20,75,19,34,44
Philadelphia Flyers,12/23/2022,1,0,1,--,0,0,0,0,0,0,5,6,5,6,0,50,0,100,31,37,50
Philadelphia Flyers,12/29/2022,1,1,0,--,0,2,1,0,1,0,4,3,4,3,0,66.7,0,66.7,26,28,53.9
Philadelphia Flyers,12/31/2022,1,1,0,--,0,2,1,1,1,0,4,2,4,2,33.3,80,33.3,100,23,29,38.6
Philadelphia Flyers,1/2/2023,1,1,0,--,0,2,1,1,1,0,4,1,4,1,0,100,0,100,33,29,53.2
Philadelphia Flyers,1/5/2023,1,1,0,--,0,2,1,1,1,0,6,2,6,2,66.7,100,66.7,100,34,23,55.3
Philadelphia Flyers,1/8/2023,1,0,1,--,0,0,0,0,0,0,2,6,2,6,0,50,-25,50,36,35,44.4
Philadelphia Flyers,1/9/2023,1,1,0,--,0,2,1,1,1,0,4,0,4,0,0,100,0,100,38,28,52.8
Philadelphia Flyers,1/11/2023,1,1,0,--,0,2,1,1,1,0,5,3,5,3,33.3,100,33.3,200,36,29,55.6
Philadelphia Flyers,1/14/2023,1,1,0,--,0,2,1,1,1,0,3,1,3,1,33.3,100,33.3,100,25,40,45.1
Philadelphia Flyers,1/16/2023,1,0,1,--,0,0,0,0,0,0,0,6,0,6,0,50,0,50,29,29,36.7
Philadelphia Flyers,1/17/2023,1,1,0,--,0,2,1,1,1,0,5,2,5,2,20,66.7,20,100,39,27,46.2
Philadelphia Flyers,1/19/2023,1,0,1,--,0,0,0,0,0,0,1,4,1,4,0,--,0,--,38,29,50
Philadelphia Flyers,1/21/2023,1,1,0,--,0,2,1,1,1,0,2,1,2,1,0,100,0,100,25,31,40.7
Philadelphia Flyers,1/22/2023,1,0,1,--,0,0,0,0,0,0,3,5,3,5,50,100,50,100,31,30,50
Philadelphia Flyers,1/24/2023,1,0,0,--,1,1,0.5,0,0,0,3,4,3,4,0,80,0,80,31,38,33.9
Philadelphia Flyers,1/26/2023,1,0,0,--,1,1,0.5,0,0,0,2,3,2,3,0,66.7,0,66.7,30,23,44.2
Philadelphia Flyers,1/28/2023,1,1,0,--,0,2,1,1,1,0,4,0,4,0,0,100,0,100,33,40,46.6
Philadelphia Flyers,2/6/2023,1,0,1,--,0,0,0,0,0,0,1,2,1,2,0,66.7,0,66.7,26,30,45.2
Philadelphia Flyers,2/9/2023,1,1,0,--,0,2,1,0,0,1,1,1,1,1,0,--,0,--,36,35,51.9
Philadelphia Flyers,2/11/2023,1,0,0,--,1,1,0.5,0,0,0,1,2,1,2,--,100,--,100,24,25,38.5
Philadelphia Flyers,2/12/2023,1,0,1,--,0,0,0,0,0,0,3,4,3,4,50,100,50,200,18,21,44.2
Philadelphia Flyers,2/16/2023,1,0,1,--,0,0,0,0,0,0,2,6,2,6,0,33.3,-100,33.3,19,30,61
Philadelphia Flyers,2/18/2023,1,0,1,--,0,0,0,0,0,0,2,6,2,6,50,50,-50,50,37,23,39.7
