Team,Game Date,GP,W,L,T,OT,P,P%,RW,ROW,S/O Win,GF,GA,GF/GP,GA/GP,PP%,PK%,Net PP%,Net PK%,Shots/GP,SA/GP,FOW%
Philadelphia Flyers,11/20/2009,1,0,1,--,0,0,0,0,0,0,3,6,3,6,0,60,-33.3,60,29,29,39.1
Philadelphia Flyers,11/21/2009,1,0,1,--,0,0,0,0,0,0,1,3,1,3,0,60,0,60,24,20,50.9
Philadelphia Flyers,11/23/2009,1,0,1,--,0,0,0,0,0,0,4,5,4,5,50,100,50,100,34,31,50.8
Philadelphia Flyers,11/25/2009,1,1,0,--,0,2,1,1,1,0,2,1,2,1,100,80,100,80,28,29,40.3
Philadelphia Flyers,11/27/2009,1,0,1,--,0,0,0,0,0,0,2,4,2,4,0,66.7,0,66.7,33,25,41.5
Philadelphia Flyers,11/28/2009,1,0,1,--,0,0,0,0,0,0,0,1,0,1,0,75,0,75,34,18,47.5
Philadelphia Flyers,12/3/2009,1,0,1,--,0,0,0,0,0,0,0,3,0,3,0,100,0,100,38,29,59.7
Philadelphia Flyers,12/5/2009,1,0,1,--,0,0,0,0,0,0,2,8,2,8,0,33.3,0,33.3,36,30,47.9
Philadelphia Flyers,12/7/2009,1,0,1,--,0,0,0,0,0,0,1,3,1,3,0,66.7,0,66.7,15,13,42.4
Philadelphia Flyers,12/8/2009,1,1,0,--,0,2,1,1,1,0,6,2,6,2,60,75,60,87.5,37,24,52.5
Philadelphia Flyers,12/10/2009,1,0,1,--,0,0,0,0,0,0,0,2,0,2,0,100,-14.3,100,23,25,55.8
Philadelphia Flyers,12/12/2009,1,0,1,--,0,0,0,0,0,0,1,4,1,4,50,66.7,50,66.7,23,28,63.5
Philadelphia Flyers,12/14/2009,1,1,0,--,0,2,1,1,1,0,3,1,3,1,0,100,0,133.3,38,27,40.8
Philadelphia Flyers,12/15/2009,1,0,1,--,0,0,0,0,0,0,1,6,1,6,16.7,75,-16.7,75,27,35,59.7
Philadelphia Flyers,12/17/2009,1,0,0,--,1,1,0.5,0,0,0,2,2,2,2,33.3,60,33.3,60,33,30,51.6
Philadelphia Flyers,12/19/2009,1,0,1,--,0,0,0,0,0,0,1,2,1,2,20,100,20,100,37,24,53.1
Philadelphia Flyers,12/21/2009,1,0,1,--,0,0,0,0,0,0,1,4,1,4,0,62.5,0,62.5,31,30,50.8
Philadelphia Flyers,12/23/2009,1,1,0,--,0,2,1,1,1,0,5,2,5,2,33.3,100,33.3,100,36,33,58.3
Philadelphia Flyers,12/26/2009,1,1,0,--,0,2,1,0,0,1,3,3,3,3,33.3,80,33.3,80,36,40,54.3
Philadelphia Flyers,12/27/2009,1,1,0,--,0,2,1,1,1,0,2,1,2,1,0,100,0,100,30,29,57.4
Philadelphia Flyers,12/30/2009,1,1,0,--,0,2,1,1,1,0,6,0,6,0,50,100,50,100,31,22,58.8
Philadelphia Flyers,1/1/2010,1,0,0,--,1,1,0.5,0,0,0,1,2,1,2,0,66.7,0,66.7,25,26,42.6
Philadelphia Flyers,1/3/2010,1,0,1,--,0,0,0,0,0,0,4,7,4,7,50,100,50,100,21,33,42.2
Philadelphia Flyers,1/6/2010,1,1,0,--,0,2,1,1,1,0,6,2,6,2,50,100,50,100,32,32,53.2
Philadelphia Flyers,1/7/2010,1,1,0,--,0,2,1,1,1,0,7,4,7,4,100,100,100,100,31,39,41.4
Philadelphia Flyers,1/9/2010,1,1,0,--,0,2,1,1,1,0,4,1,4,1,20,100,20,100,31,18,51.7
Philadelphia Flyers,1/12/2010,1,1,0,--,0,2,1,1,1,0,6,3,6,3,50,100,50,120,28,30,40
Philadelphia Flyers,1/14/2010,1,0,1,--,0,0,0,0,0,0,0,4,0,4,0,100,0,100,38,35,51.7
Philadelphia Flyers,1/17/2010,1,0,1,--,0,0,0,0,0,0,3,5,3,5,40,0,20,0,33,22,46.2
Philadelphia Flyers,1/19/2010,1,1,0,--,0,2,1,1,1,0,5,3,5,3,20,33.3,20,33.3,37,28,58.3
Philadelphia Flyers,1/21/2010,1,1,0,--,0,2,1,1,1,0,2,0,2,0,33.3,100,33.3,100,27,24,45.3
Philadelphia Flyers,1/23/2010,1,1,0,--,0,2,1,1,1,0,4,2,4,2,33.3,60,33.3,60,30,35,55.6
Philadelphia Flyers,1/24/2010,1,0,1,--,0,0,0,0,0,0,1,2,1,2,11.1,66.7,11.1,66.7,28,22,61
Philadelphia Flyers,1/28/2010,1,0,1,--,0,0,0,0,0,0,3,4,3,4,0,100,0,100,37,28,52.2
Philadelphia Flyers,1/30/2010,1,1,0,--,0,2,1,1,1,0,2,1,2,1,16.7,100,16.7,100,32,32,53.1
Philadelphia Flyers,2/1/2010,1,1,0,--,0,2,1,1,1,0,3,0,3,0,25,100,25,100,27,18,49
