Team,Game Date,GP,W,L,T,OT,P,P%,RW,ROW,S/O Win,GF,GA,GF/GP,GA/GP,PP%,PK%,Net PP%,Net PK%,Shots/GP,SA/GP,FOW%
Philadelphia Flyers,11/29/2013,1,1,0,--,0,2,1,1,1,0,2,1,2,1,0,100,0,116.7,34,26,55
Philadelphia Flyers,11/30/2013,1,1,0,--,0,2,1,0,0,1,2,2,2,2,0,100,0,100,24,36,49.2
Philadelphia Flyers,12/2/2013,1,0,1,--,0,0,0,0,0,0,0,2,0,2,0,100,0,100,21,21,62.5
Philadelphia Flyers,12/4/2013,1,1,0,--,0,2,1,1,1,0,6,3,6,3,100,85.7,100,85.7,34,35,44.4
Philadelphia Flyers,12/7/2013,1,0,1,--,0,0,0,0,0,0,1,5,1,5,0,100,-20,100,28,34,50.8
Philadelphia Flyers,12/9/2013,1,0,0,--,1,1,0.5,0,0,0,4,4,4,4,50,66.7,50,66.7,29,34,39.7
Philadelphia Flyers,12/11/2013,1,0,1,--,0,0,0,0,0,0,2,7,2,7,40,71.4,20,71.4,30,23,41.5
Philadelphia Flyers,12/12/2013,1,1,0,--,0,2,1,1,1,0,2,1,2,1,0,100,0,100,27,21,43.9
Philadelphia Flyers,12/15/2013,1,0,0,--,1,1,0.5,0,0,0,4,4,4,4,0,80,0,80,28,33,42
Philadelphia Flyers,12/17/2013,1,1,0,--,0,2,1,1,1,0,5,2,5,2,33.3,50,33.3,50,35,26,48.1
Philadelphia Flyers,12/19/2013,1,1,0,--,0,2,1,1,1,0,5,4,5,4,0,100,-25,100,39,29,52.5
Philadelphia Flyers,12/21/2013,1,0,1,--,0,0,0,0,0,0,3,6,3,6,0,75,0,75,36,29,48.8
Philadelphia Flyers,12/23/2013,1,1,0,--,0,2,1,1,1,0,4,1,4,1,25,80,25,80,31,27,45.7
Philadelphia Flyers,12/28/2013,1,1,0,--,0,2,1,0,0,1,3,3,3,3,60,80,60,80,38,16,52.7
Philadelphia Flyers,12/30/2013,1,1,0,--,0,2,1,0,0,1,3,3,3,3,0,100,0,100,27,44,47.9
Philadelphia Flyers,12/31/2013,1,1,0,--,0,2,1,1,1,0,4,1,4,1,0,100,0,150,21,24,56.7
Philadelphia Flyers,1/2/2014,1,0,1,--,0,0,0,0,0,0,1,2,1,2,0,100,0,100,30,31,42.6
Philadelphia Flyers,1/4/2014,1,1,0,--,0,2,1,1,1,0,5,3,5,3,33.3,100,33.3,100,28,29,42.6
