Team,Game Date,GP,W,L,T,OT,P,P%,RW,ROW,S/O Win,GF,GA,GF/GP,GA/GP,PP%,PK%,Net PP%,Net PK%,Shots/GP,SA/GP,FOW%
Philadelphia Flyers,11/2/2021,1,1,0,--,0,2,1,1,1,0,3,0,3,0,0,--,0,--,34,29,62.3
Philadelphia Flyers,11/4/2021,1,0,0,--,1,1,0.5,0,0,0,2,3,2,3,33.3,100,33.3,100,38,36,47.4
Philadelphia Flyers,11/6/2021,1,1,0,--,0,2,1,1,1,0,2,1,2,1,0,100,0,100,32,32,52.9
Philadelphia Flyers,11/10/2021,1,0,1,--,0,0,0,0,0,0,0,3,0,3,0,66.7,0,66.7,36,33,57.8
Philadelphia Flyers,11/12/2021,1,1,0,--,0,2,1,1,1,0,2,1,2,1,0,100,0,100,28,40,41.7
Philadelphia Flyers,11/13/2021,1,0,1,--,0,0,0,0,0,0,2,5,2,5,25,66.7,25,66.7,33,31,45
Philadelphia Flyers,11/16/2021,1,1,0,--,0,2,1,0,1,0,2,1,2,1,0,100,0,100,43,34,59.7
Philadelphia Flyers,11/18/2021,1,0,0,--,1,1,0.5,0,0,0,3,3,3,3,0,66.7,0,66.7,30,32,51.8
Philadelphia Flyers,11/20/2021,1,0,1,--,0,0,0,0,0,0,2,5,2,5,20,100,20,100,31,44,49.1
Philadelphia Flyers,11/23/2021,1,0,1,--,0,0,0,0,0,0,0,4,0,4,0,100,0,100,34,35,55.9
Philadelphia Flyers,11/24/2021,1,0,0,--,1,1,0.5,0,0,0,1,2,1,2,0,50,0,50,33,45,57.9
Philadelphia Flyers,11/26/2021,1,0,1,--,0,0,0,0,0,0,3,6,3,6,0,100,0,125,23,36,53.3
Philadelphia Flyers,11/28/2021,1,0,1,--,0,0,0,0,0,0,2,5,2,5,0,100,0,133.3,25,35,54.2
Philadelphia Flyers,12/1/2021,1,0,1,--,0,0,0,0,0,0,1,4,1,4,0,50,0,50,34,28,51
Philadelphia Flyers,12/5/2021,1,0,1,--,0,0,0,0,0,0,1,7,1,7,33.3,50,0,50,39,27,49.1
Philadelphia Flyers,12/6/2021,1,0,1,--,0,0,0,0,0,0,5,7,5,7,33.3,40,0,60,32,50,54.4
Philadelphia Flyers,12/8/2021,1,0,1,--,0,0,0,0,0,0,0,3,0,3,0,66.7,0,66.7,25,27,67.8
Philadelphia Flyers,12/10/2021,1,1,0,--,0,2,1,1,1,0,4,3,4,3,66.7,83.3,66.7,83.3,25,44,47.1
Philadelphia Flyers,12/11/2021,1,1,0,--,0,2,1,1,1,0,5,3,5,3,33.3,100,33.3,100,34,32,52.9
Philadelphia Flyers,12/14/2021,1,1,0,--,0,2,1,1,1,0,6,1,6,1,--,100,--,125,30,27,52.5
Philadelphia Flyers,12/16/2021,1,0,0,--,1,1,0.5,0,0,0,2,2,2,2,0,100,0,100,39,40,60
Philadelphia Flyers,12/18/2021,1,1,0,--,0,2,1,0,1,0,4,3,4,3,0,100,-50,100,38,31,53.6
Philadelphia Flyers,12/29/2021,1,1,0,--,0,2,1,0,1,0,3,2,3,2,33.3,66.7,33.3,66.7,22,36,53.7
Philadelphia Flyers,12/30/2021,1,0,0,--,1,1,0.5,0,0,0,2,3,2,3,0,100,-33.3,100,25,46,53.7
Philadelphia Flyers,1/1/2022,1,0,1,--,0,0,0,0,0,0,3,6,3,6,20,66.7,20,66.7,37,34,52.2
Philadelphia Flyers,1/4/2022,1,0,1,--,0,0,0,0,0,0,1,4,1,4,0,50,0,50,29,30,52.5
Philadelphia Flyers,1/6/2022,1,0,1,--,0,0,0,0,0,0,2,6,2,6,0,0,-33.3,0,20,32,46.2
Philadelphia Flyers,1/8/2022,1,0,0,--,1,1,0.5,0,0,0,2,3,2,3,50,100,50,100,31,47,54.6
Philadelphia Flyers,1/13/2022,1,0,1,--,0,0,0,0,0,0,2,3,2,3,25,50,25,50,27,36,50
Philadelphia Flyers,1/15/2022,1,0,1,--,0,0,0,0,0,0,2,3,2,3,0,50,0,50,28,27,50
Philadelphia Flyers,1/17/2022,1,0,1,--,0,0,0,0,0,0,1,4,1,4,0,100,0,100,27,31,47.7
Philadelphia Flyers,1/18/2022,1,0,0,--,1,1,0.5,0,0,0,3,3,3,3,33.3,100,33.3,100,34,31,56.1
Philadelphia Flyers,1/20/2022,1,0,1,--,0,0,0,0,0,0,1,2,1,2,0,100,0,100,34,29,53.2
Philadelphia Flyers,1/22/2022,1,0,1,--,0,0,0,0,0,0,3,6,3,6,20,25,20,25,33,24,50
Philadelphia Flyers,1/24/2022,1,0,1,--,0,0,0,0,0,0,1,3,1,3,--,--,--,--,28,36,53.2
Philadelphia Flyers,1/25/2022,1,0,1,--,0,0,0,0,0,0,3,4,3,4,0,75,0,75,17,33,42.6
Philadelphia Flyers,1/29/2022,1,1,0,--,0,2,1,0,1,0,4,3,4,3,0,66.7,0,100,36,40,47.2
Philadelphia Flyers,2/1/2022,1,1,0,--,0,2,1,1,1,0,3,1,3,1,0,100,0,100,36,33,59.3
Philadelphia Flyers,2/9/2022,1,0,1,--,0,0,0,0,0,0,3,6,3,6,0,66.7,0,66.7,24,34,46.4
Philadelphia Flyers,2/12/2022,1,0,1,--,0,0,0,0,0,0,2,4,2,4,33.3,50,33.3,50,34,23,47.9
Philadelphia Flyers,2/15/2022,1,0,0,--,1,1,0.5,0,0,0,4,5,4,5,0,50,0,50,27,34,57.6
Philadelphia Flyers,2/17/2022,1,0,1,--,0,0,0,0,0,0,3,5,3,5,25,66.7,25,66.7,33,25,61
Philadelphia Flyers,2/21/2022,1,0,0,--,1,1,0.5,0,0,0,3,4,3,4,0,100,0,100,41,31,52.4
Philadelphia Flyers,2/22/2022,1,0,1,--,0,0,0,0,0,0,1,4,1,4,0,100,0,100,26,26,66.7
Philadelphia Flyers,2/26/2022,1,1,0,--,0,2,1,1,1,0,2,1,2,1,0,66.7,0,66.7,22,28,60.3
Philadelphia Flyers,3/1/2022,1,0,1,--,0,0,0,0,0,0,0,3,0,3,0,80,0,80,39,32,52.5
Philadelphia Flyers,3/3/2022,1,0,1,--,0,0,0,0,0,0,4,5,4,5,33.3,100,33.3,100,30,38,63.5
Philadelphia Flyers,3/5/2022,1,1,0,--,0,2,1,1,1,0,4,3,4,3,0,100,0,100,27,29,54.9
Philadelphia Flyers,3/8/2022,1,1,0,--,0,2,1,1,1,0,2,1,2,1,0,80,0,80,21,48,45.6
Philadelphia Flyers,3/10/2022,1,0,1,--,0,0,0,0,0,0,3,6,3,6,33.3,0,33.3,0,37,37,49.3
Philadelphia Flyers,3/12/2022,1,0,1,--,0,0,0,0,0,0,1,3,1,3,0,100,0,100,29,36,44.2
Philadelphia Flyers,3/13/2022,1,0,0,--,1,1,0.5,0,0,0,3,4,3,4,0,75,-50,75,30,35,59.7
Philadelphia Flyers,3/17/2022,1,1,0,--,0,2,1,1,1,0,5,4,5,4,25,75,25,75,33,34,47.9
Philadelphia Flyers,3/18/2022,1,0,1,--,0,0,0,0,0,0,1,3,1,3,0,66.7,-33.3,66.7,29,36,50.8
Philadelphia Flyers,3/20/2022,1,1,0,--,0,2,1,1,1,0,2,1,2,1,25,100,25,100,37,27,49.1
Philadelphia Flyers,3/22/2022,1,0,1,--,0,0,0,0,0,0,3,6,3,6,0,--,0,--,33,31,49.2
Philadelphia Flyers,3/24/2022,1,1,0,--,0,2,1,1,1,0,5,2,5,2,0,66.7,0,66.7,27,28,46.5
Philadelphia Flyers,3/25/2022,1,0,1,--,0,0,0,0,0,0,3,6,3,6,0,66.7,0,66.7,31,51,40.6
Philadelphia Flyers,3/27/2022,1,0,1,--,0,0,0,0,0,0,4,5,4,5,0,100,0,100,23,35,40
Philadelphia Flyers,3/29/2022,1,0,1,--,0,0,0,0,0,0,1,4,1,4,25,66.7,25,66.7,33,37,40.4
Philadelphia Flyers,4/2/2022,1,0,1,--,0,0,0,0,0,0,3,6,3,6,0,100,-50,100,32,28,39.3
Philadelphia Flyers,4/3/2022,1,1,0,--,0,2,1,0,0,1,3,3,3,3,0,100,0,100,26,46,58.8
Philadelphia Flyers,4/5/2022,1,0,1,--,0,0,0,0,0,0,2,4,2,4,0,100,0,100,49,30,55.6
Philadelphia Flyers,4/7/2022,1,1,0,--,0,2,1,1,1,0,4,1,4,1,0,100,-25,100,31,27,57.1
Philadelphia Flyers,4/9/2022,1,0,1,--,0,0,0,0,0,0,3,5,3,5,0,50,0,50,33,34,57.1
Philadelphia Flyers,4/12/2022,1,0,1,--,0,0,0,0,0,0,2,9,2,9,50,75,50,75,21,37,44.8
Philadelphia Flyers,4/13/2022,1,0,1,--,0,0,0,0,0,0,0,4,0,4,0,100,-50,100,28,34,44.2
Philadelphia Flyers,4/16/2022,1,0,1,--,0,0,0,0,0,0,3,4,3,4,0,50,0,50,21,29,48.2
Philadelphia Flyers,4/17/2022,1,0,1,--,0,0,0,0,0,0,3,5,3,5,0,0,0,0,35,40,56.5
Philadelphia Flyers,4/19/2022,1,0,1,--,0,0,0,0,0,0,2,5,2,5,0,80,0,80,39,29,46.7
Philadelphia Flyers,4/21/2022,1,1,0,--,0,2,1,1,1,0,6,3,6,3,0,100,0,100,34,34,41.4
Philadelphia Flyers,4/24/2022,1,1,0,--,0,2,1,1,1,0,4,1,4,1,33.3,100,33.3,100,43,38,50
Philadelphia Flyers,4/25/2022,1,0,1,--,0,0,0,0,0,0,1,3,1,3,0,100,0,100,34,33,46.2
Philadelphia Flyers,4/27/2022,1,0,1,--,0,0,0,0,0,0,0,4,0,4,0,60,0,60,35,27,51
Philadelphia Flyers,4/29/2022,1,0,1,--,0,0,0,0,0,0,2,4,2,4,66.7,75,66.7,75,34,36,59.3
Philadelphia Flyers,10/13/2022,1,1,0,--,0,2,1,1,1,0,5,2,5,2,33.3,66.7,33.3,66.7,25,37,39.1
Philadelphia Flyers,10/15/2022,1,1,0,--,0,2,1,1,1,0,3,2,3,2,20,100,20,120,31,30,48.1
Philadelphia Flyers,10/18/2022,1,1,0,--,0,2,1,1,1,0,3,2,3,2,50,33.3,50,33.3,24,38,37.7
Philadelphia Flyers,10/19/2022,1,0,1,--,0,0,0,0,0,0,3,4,3,4,16.7,100,16.7,100,33,36,37.3
Philadelphia Flyers,10/22/2022,1,1,0,--,0,2,1,1,1,0,3,1,3,1,0,66.7,0,66.7,25,32,28.6
Philadelphia Flyers,10/23/2022,1,0,1,--,0,0,0,0,0,0,0,3,0,3,0,100,0,100,30,25,56.7
Philadelphia Flyers,10/27/2022,1,1,0,--,0,2,1,1,1,0,4,3,4,3,50,75,50,75,22,51,50
Philadelphia Flyers,10/29/2022,1,0,0,--,1,1,0.5,0,0,0,3,4,3,4,16.7,100,16.7,100,29,38,51.5
Philadelphia Flyers,11/1/2022,1,0,0,--,1,1,0.5,0,0,0,0,1,0,1,0,100,0,100,19,36,58
Philadelphia Flyers,11/2/2022,1,0,1,--,0,0,0,0,0,0,2,5,2,5,16.7,60,16.7,60,25,44,53.2
Philadelphia Flyers,11/5/2022,1,1,0,--,0,2,1,1,1,0,2,1,2,1,33.3,100,33.3,100,28,34,41.4
Philadelphia Flyers,11/8/2022,1,1,0,--,0,2,1,1,1,0,5,1,5,1,0,100,0,100,35,28,40
Philadelphia Flyers,11/10/2022,1,0,1,--,0,0,0,0,0,0,2,5,2,5,--,100,--,100,34,29,47.6
Philadelphia Flyers,11/12/2022,1,0,1,--,0,0,0,0,0,0,1,4,1,4,0,33.3,0,33.3,38,27,55.2
Philadelphia Flyers,11/13/2022,1,0,1,--,0,0,0,0,0,0,1,5,1,5,0,33.3,-16.7,33.3,38,31,25.9
Philadelphia Flyers,11/15/2022,1,0,0,--,1,1,0.5,0,0,0,4,5,4,5,50,0,50,0,37,33,47.5
Philadelphia Flyers,11/17/2022,1,0,1,--,0,0,0,0,0,0,1,4,1,4,25,50,25,50,23,32,50
Philadelphia Flyers,11/19/2022,1,0,0,--,1,1,0.5,0,0,0,4,4,4,4,0,66.7,0,66.7,29,32,34.6
Philadelphia Flyers,11/21/2022,1,0,1,--,0,0,0,0,0,0,2,5,2,5,0,100,0,100,25,30,50
Philadelphia Flyers,11/23/2022,1,0,0,--,1,1,0.5,0,0,0,2,3,2,3,0,66.7,0,66.7,23,32,42.3
Philadelphia Flyers,11/25/2022,1,0,1,--,0,0,0,0,0,0,1,4,1,4,0,100,0,100,30,29,37
Philadelphia Flyers,11/26/2022,1,0,1,--,0,0,0,0,0,0,2,5,2,5,0,33.3,0,33.3,28,23,47.6
Philadelphia Flyers,11/29/2022,1,1,0,--,0,2,1,1,1,0,3,1,3,1,0,75,0,100,33,24,49.1
Philadelphia Flyers,12/1/2022,1,0,1,--,0,0,0,0,0,0,1,4,1,4,0,66.7,0,66.7,22,27,34.8
Philadelphia Flyers,12/3/2022,1,0,1,--,0,0,0,0,0,0,2,3,2,3,33.3,100,33.3,100,33,18,40.4
