Team,Game Date,GP,W,L,T,OT,P,P%,RW,ROW,S/O Win,GF,GA,GF/GP,GA/GP,PP%,PK%,Net PP%,Net PK%,Shots/GP,SA/GP,FOW%
Philadelphia Flyers,4/2/2017,1,0,1,--,0,0,0,0,0,0,3,4,3,4,0,75,0,75,23,24,59.2
Philadelphia Flyers,4/4/2017,1,0,0,--,1,1,0.5,0,0,0,0,1,0,1,0,100,0,100,35,27,54.9
Philadelphia Flyers,4/8/2017,1,1,0,--,0,2,1,1,1,0,4,2,4,2,33.3,50,33.3,50,24,22,62.5
Philadelphia Flyers,4/9/2017,1,0,0,--,1,1,0.5,0,0,0,3,3,3,3,0,66.7,0,66.7,44,35,48
Philadelphia Flyers,10/4/2017,1,1,0,--,0,2,1,1,1,0,5,3,5,3,60,66.7,60,66.7,31,35,51.7
Philadelphia Flyers,10/5/2017,1,0,1,--,0,0,0,0,0,0,0,2,0,2,0,100,0,100,35,27,48
Philadelphia Flyers,10/7/2017,1,1,0,--,0,2,1,0,1,0,3,2,3,2,0,100,-20,100,37,23,50
Philadelphia Flyers,10/10/2017,1,0,1,--,0,0,0,0,0,0,5,6,5,6,40,25,40,25,30,31,38.9
Philadelphia Flyers,10/14/2017,1,1,0,--,0,2,1,1,1,0,8,2,8,2,50,100,50,150,37,23,53.3
Philadelphia Flyers,10/17/2017,1,1,0,--,0,2,1,1,1,0,5,1,5,1,25,83.3,25,83.3,38,41,56.9
Philadelphia Flyers,10/19/2017,1,0,1,--,0,0,0,0,0,0,0,1,0,1,0,100,0,100,28,24,54.2
Philadelphia Flyers,10/21/2017,1,1,0,--,0,2,1,1,1,0,2,1,2,1,50,100,50,100,24,24,55.8
Philadelphia Flyers,10/24/2017,1,0,1,--,0,0,0,0,0,0,2,6,2,6,0,66.7,0,66.7,33,25,55.7
Philadelphia Flyers,10/26/2017,1,0,1,--,0,0,0,0,0,0,4,5,4,5,0,75,-50,75,40,28,41.3
Philadelphia Flyers,10/28/2017,1,1,0,--,0,2,1,1,1,0,4,2,4,2,100,100,100,100,30,30,47.7
Philadelphia Flyers,10/30/2017,1,0,0,--,1,1,0.5,0,0,0,3,4,3,4,100,66.7,100,66.7,31,34,56.9
Philadelphia Flyers,11/1/2017,1,0,1,--,0,0,0,0,0,0,0,3,0,3,0,75,0,75,35,35,57.4
Philadelphia Flyers,11/2/2017,1,1,0,--,0,2,1,1,1,0,2,0,2,0,0,100,0,100,23,33,51
Philadelphia Flyers,11/4/2017,1,0,0,--,1,1,0.5,0,0,0,4,4,4,4,16.7,33.3,0,33.3,37,27,60
Philadelphia Flyers,11/9/2017,1,1,0,--,0,2,1,1,1,0,3,1,3,1,0,100,0,100,31,39,67.1
Philadelphia Flyers,11/11/2017,1,0,1,--,0,0,0,0,0,0,0,1,0,1,0,100,0,100,32,27,50
Philadelphia Flyers,11/14/2017,1,0,1,--,0,0,0,0,0,0,0,3,0,3,0,100,0,100,30,20,60
Philadelphia Flyers,11/16/2017,1,0,0,--,1,1,0.5,0,0,0,2,2,2,2,20,85.7,20,85.7,32,33,45.8
Philadelphia Flyers,11/18/2017,1,0,0,--,1,1,0.5,0,0,0,4,5,4,5,33.3,40,33.3,40,39,31,41.9
Philadelphia Flyers,11/21/2017,1,0,1,--,0,0,0,0,0,0,2,5,2,5,0,33.3,0,33.3,38,36,60.6
Philadelphia Flyers,11/22/2017,1,0,0,--,1,1,0.5,0,0,0,3,4,3,4,50,60,50,60,38,39,47.8
Philadelphia Flyers,11/24/2017,1,0,0,--,1,1,0.5,0,0,0,4,5,4,5,0,66.7,0,66.7,30,37,63.8
Philadelphia Flyers,11/27/2017,1,0,0,--,1,1,0.5,0,0,0,4,5,4,5,25,80,25,80,32,52,58
Philadelphia Flyers,11/28/2017,1,0,1,--,0,0,0,0,0,0,1,3,1,3,0,80,0,80,23,34,54.4
Philadelphia Flyers,12/2/2017,1,0,1,--,0,0,0,0,0,0,0,3,0,3,0,100,0,100,28,27,53.7
Philadelphia Flyers,12/4/2017,1,1,0,--,0,2,1,1,1,0,5,2,5,2,33.3,100,33.3,100,21,45,58.3
Philadelphia Flyers,12/6/2017,1,1,0,--,0,2,1,1,1,0,4,2,4,2,25,100,0,100,33,26,39.4
Philadelphia Flyers,12/7/2017,1,1,0,--,0,2,1,1,1,0,4,1,4,1,33.3,100,33.3,100,26,37,47.5
Philadelphia Flyers,12/12/2017,1,1,0,--,0,2,1,1,1,0,4,2,4,2,0,0,0,0,39,22,56.4
Philadelphia Flyers,12/14/2017,1,1,0,--,0,2,1,1,1,0,2,1,2,1,0,100,0,100,27,20,54.6
Philadelphia Flyers,12/16/2017,1,1,0,--,0,2,1,0,1,0,2,1,2,1,33.3,100,33.3,100,30,28,55.6
Philadelphia Flyers,12/18/2017,1,0,1,--,0,0,0,0,0,0,1,4,1,4,16.7,100,16.7,100,37,25,52
Philadelphia Flyers,12/20/2017,1,1,0,--,0,2,1,1,1,0,4,3,4,3,100,33.3,100,33.3,31,28,56.5
Philadelphia Flyers,12/22/2017,1,0,1,--,0,0,0,0,0,0,2,4,2,4,20,100,20,100,35,37,47.7
Philadelphia Flyers,12/23/2017,1,0,0,--,1,1,0.5,0,0,0,1,1,1,1,0,66.7,0,66.7,31,36,56.5
Philadelphia Flyers,12/28/2017,1,0,1,--,0,0,0,0,0,0,2,3,2,3,0,100,-25,100,31,27,44.8
Philadelphia Flyers,12/29/2017,1,1,0,--,0,2,1,1,1,0,5,3,5,3,33.3,66.7,16.7,66.7,38,27,56.5
Philadelphia Flyers,1/2/2018,1,0,1,--,0,0,0,0,0,0,1,5,1,5,0,0,0,0,28,25,55.2
Philadelphia Flyers,1/4/2018,1,1,0,--,0,2,1,1,1,0,6,4,6,4,60,0,60,0,32,31,50
Philadelphia Flyers,1/6/2018,1,1,0,--,0,2,1,1,1,0,6,3,6,3,25,100,25,100,39,31,60.3
