Team,Game Date,GP,W,L,T,OT,P,P%,RW,ROW,S/O Win,GF,GA,GF/GP,GA/GP,PP%,PK%,Net PP%,Net PK%,Shots/GP,SA/GP,FOW%
Philadelphia Flyers,2/27/2016,1,1,0,--,0,2,1,1,1,0,4,2,4,2,25,100,25,100,33,31,37.9
Philadelphia Flyers,2/29/2016,1,1,0,--,0,2,1,1,1,0,5,3,5,3,66.7,75,66.7,75,29,32,50.9
Philadelphia Flyers,3/3/2016,1,0,1,--,0,0,0,0,0,0,0,4,0,4,0,100,-14.3,100,35,31,68.8
Philadelphia Flyers,3/5/2016,1,1,0,--,0,2,1,1,1,0,6,0,6,0,0,100,0,100,36,19,46.8
Philadelphia Flyers,3/7/2016,1,1,0,--,0,2,1,1,1,0,4,2,4,2,20,100,20,100,40,18,54.4
Philadelphia Flyers,3/11/2016,1,1,0,--,0,2,1,1,1,0,3,1,3,1,66.7,100,66.7,100,22,19,51.2
Philadelphia Flyers,3/12/2016,1,0,0,--,1,1,0.5,0,0,0,4,4,4,4,20,66.7,20,66.7,26,29,49.4
Philadelphia Flyers,3/15/2016,1,1,0,--,0,2,1,1,1,0,4,3,4,3,0,100,0,100,46,37,51.4
Philadelphia Flyers,3/16/2016,1,1,0,--,0,2,1,1,1,0,3,2,3,2,50,100,0,100,29,26,61.5
Philadelphia Flyers,3/19/2016,1,0,1,--,0,0,0,0,0,0,1,4,1,4,0,100,0,100,17,35,65.2
Philadelphia Flyers,3/21/2016,1,1,0,--,0,2,1,1,1,0,4,1,4,1,0,100,0,100,27,24,54
Philadelphia Flyers,3/22/2016,1,0,0,--,1,1,0.5,0,0,0,2,2,2,2,20,100,0,100,33,53,50
Philadelphia Flyers,3/24/2016,1,1,0,--,0,2,1,1,1,0,4,2,4,2,0,100,0,100,44,34,41.1
Philadelphia Flyers,3/26/2016,1,0,1,--,0,0,0,0,0,0,1,2,1,2,20,66.7,20,66.7,35,17,41.9
Philadelphia Flyers,3/28/2016,1,1,0,--,0,2,1,0,1,0,3,2,3,2,0,--,0,--,32,28,66.7
Philadelphia Flyers,3/30/2016,1,1,0,--,0,2,1,0,0,1,1,1,1,1,33.3,66.7,33.3,66.7,34,30,59.4
Philadelphia Flyers,4/2/2016,1,1,0,--,0,2,1,1,1,0,3,2,3,2,75,0,75,0,36,35,48
Philadelphia Flyers,4/3/2016,1,0,1,--,0,0,0,0,0,0,2,6,2,6,0,50,-50,50,30,39,50.7
Philadelphia Flyers,4/6/2016,1,0,1,--,0,0,0,0,0,0,0,3,0,3,0,100,-25,100,30,26,54.8
Philadelphia Flyers,4/7/2016,1,0,0,--,1,1,0.5,0,0,0,3,4,3,4,0,50,0,50,44,26,59.4
Philadelphia Flyers,4/9/2016,1,1,0,--,0,2,1,1,1,0,3,1,3,1,0,100,0,100,36,19,63.8
Philadelphia Flyers,4/10/2016,1,1,0,--,0,2,1,1,1,0,5,2,5,2,75,100,75,100,27,17,42.6
Philadelphia Flyers,10/14/2016,1,1,0,--,0,2,1,1,1,0,4,2,4,2,0,100,0,100,30,25,36.9
Philadelphia Flyers,10/15/2016,1,0,0,--,1,1,0.5,0,0,0,3,4,3,4,0,83.3,-25,83.3,30,35,55.8
Philadelphia Flyers,10/18/2016,1,0,1,--,0,0,0,0,0,0,4,7,4,7,50,33.3,50,33.3,27,28,50.9
Philadelphia Flyers,10/20/2016,1,0,1,--,0,0,0,0,0,0,2,3,2,3,14.3,100,14.3,100,22,26,39.1
Philadelphia Flyers,10/22/2016,1,1,0,--,0,2,1,1,1,0,6,3,6,3,25,80,25,80,27,30,49.2
Philadelphia Flyers,10/24/2016,1,0,1,--,0,0,0,0,0,0,1,3,1,3,0,75,0,75,32,33,49.2
Philadelphia Flyers,10/25/2016,1,1,0,--,0,2,1,0,0,1,3,3,3,3,75,50,75,50,41,25,53.4
Philadelphia Flyers,10/27/2016,1,0,1,--,0,0,0,0,0,0,4,5,4,5,25,100,12.5,100,32,25,51.9
Philadelphia Flyers,10/29/2016,1,0,1,--,0,0,0,0,0,0,4,5,4,5,33.3,50,33.3,50,42,27,53.4
Philadelphia Flyers,10/30/2016,1,1,0,--,0,2,1,1,1,0,4,3,4,3,33.3,100,33.3,150,28,29,41.3
Philadelphia Flyers,11/2/2016,1,1,0,--,0,2,1,0,1,0,4,3,4,3,0,100,0,100,40,25,44
Philadelphia Flyers,11/3/2016,1,1,0,--,0,2,1,0,0,1,2,2,2,2,20,66.7,20,66.7,42,27,57.4
Philadelphia Flyers,11/5/2016,1,0,1,--,0,0,0,0,0,0,4,5,4,5,40,100,20,100,38,17,47.5
Philadelphia Flyers,11/8/2016,1,0,0,--,1,1,0.5,0,0,0,2,2,2,2,50,100,50,100,25,35,58.6
Philadelphia Flyers,11/11/2016,1,0,1,--,0,0,0,0,0,0,3,6,3,6,50,60,0,80,33,23,41.8
Philadelphia Flyers,11/12/2016,1,1,0,--,0,2,1,1,1,0,3,2,3,2,33.3,100,33.3,100,36,27,48.2
