Team,Game Date,GP,W,L,T,OT,P,P%,RW,ROW,S/O Win,GF,GA,GF/GP,GA/GP,PP%,PK%,Net PP%,Net PK%,Shots/GP,SA/GP,FOW%
Philadelphia Flyers,10/11/2008,1,0,1,--,0,0,0,0,0,0,3,4,3,4,0,83.3,0,100,28,27,42.7
Philadelphia Flyers,10/13/2008,1,0,1,--,0,0,0,0,0,0,3,5,3,5,28.6,100,28.6,100,32,27,51.4
Philadelphia Flyers,10/14/2008,1,0,0,--,1,1,0.5,0,0,0,2,3,2,3,0,83.3,0,83.3,30,28,40
Philadelphia Flyers,10/16/2008,1,0,1,--,0,0,0,0,0,0,2,5,2,5,14.3,72.7,14.3,81.8,18,34,40
Philadelphia Flyers,10/18/2008,1,0,0,--,1,1,0.5,0,0,0,4,5,4,5,0,85.7,0,100,17,45,41.9
Philadelphia Flyers,10/22/2008,1,0,0,--,1,1,0.5,0,0,0,6,6,6,6,66.7,60,66.7,80,29,35,46.3
Philadelphia Flyers,10/24/2008,1,1,0,--,0,2,1,1,1,0,6,3,6,3,50,66.7,50,66.7,28,26,37.9
Philadelphia Flyers,10/25/2008,1,1,0,--,0,2,1,0,1,0,3,2,3,2,0,80,0,80,33,31,42.9
Philadelphia Flyers,10/28/2008,1,1,0,--,0,2,1,1,1,0,7,0,7,0,60,100,60,125,31,24,48.2
Philadelphia Flyers,10/30/2008,1,1,0,--,0,2,1,0,1,0,3,2,3,2,25,66.7,25,66.7,28,36,48
Philadelphia Flyers,11/2/2008,1,0,1,--,0,0,0,0,0,0,4,5,4,5,50,85.7,50,85.7,26,28,66.1
Philadelphia Flyers,11/6/2008,1,0,1,--,0,0,0,0,0,0,1,4,1,4,0,50,0,50,18,25,50
Philadelphia Flyers,11/8/2008,1,0,1,--,0,0,0,0,0,0,1,2,1,2,20,100,20,100,36,22,50.8
Philadelphia Flyers,11/11/2008,1,1,0,--,0,2,1,1,1,0,3,1,3,1,0,100,0,112.5,32,36,47.1
Philadelphia Flyers,11/13/2008,1,0,0,--,1,1,0.5,0,0,0,4,4,4,4,25,85.7,25,114.3,35,31,52.5
Philadelphia Flyers,11/15/2008,1,1,0,--,0,2,1,1,1,0,2,1,2,1,0,100,0,100,31,25,48.2
Philadelphia Flyers,11/16/2008,1,1,0,--,0,2,1,1,1,0,4,3,4,3,33.3,100,33.3,100,32,32,53.2
Philadelphia Flyers,11/21/2008,1,1,0,--,0,2,1,1,1,0,3,0,3,0,0,100,0,100,25,40,51.8
Philadelphia Flyers,11/22/2008,1,1,0,--,0,2,1,0,1,0,4,3,4,3,33.3,87.5,33.3,87.5,34,28,58.5
Philadelphia Flyers,11/24/2008,1,1,0,--,0,2,1,1,1,0,4,3,4,3,0,100,0,100,25,25,45.5
Philadelphia Flyers,11/26/2008,1,1,0,--,0,2,1,1,1,0,3,1,3,1,0,100,0,100,27,28,46.3
Philadelphia Flyers,11/28/2008,1,0,0,--,1,1,0.5,0,0,0,2,3,2,3,50,100,50,100,26,30,51
Philadelphia Flyers,11/29/2008,1,0,1,--,0,0,0,0,0,0,2,4,2,4,0,75,0,100,30,27,42.1
Philadelphia Flyers,12/2/2008,1,1,0,--,0,2,1,0,1,0,4,3,4,3,50,66.7,50,83.3,32,38,49.2
Philadelphia Flyers,12/4/2008,1,0,0,--,1,1,0.5,0,0,0,2,3,2,3,40,100,40,100,31,31,56.5
Philadelphia Flyers,12/6/2008,1,1,0,--,0,2,1,0,1,0,2,1,2,1,0,80,0,100,31,36,49.2
Philadelphia Flyers,12/9/2008,1,1,0,--,0,2,1,1,1,0,4,3,4,3,33.3,66.7,33.3,66.7,25,27,49.2
Philadelphia Flyers,12/11/2008,1,1,0,--,0,2,1,0,0,1,5,5,5,5,33.3,71.4,33.3,71.4,37,31,41.9
Philadelphia Flyers,12/13/2008,1,1,0,--,0,2,1,1,1,0,6,3,6,3,66.7,75,66.7,75,27,26,55.8
Philadelphia Flyers,12/16/2008,1,1,0,--,0,2,1,1,1,0,5,2,5,2,40,80,40,100,24,31,35.8
Philadelphia Flyers,12/18/2008,1,0,1,--,0,0,0,0,0,0,2,5,2,5,0,66.7,0,66.7,31,31,40.6
