Team,Game Date,GP,W,L,T,OT,P,P%,RW,ROW,S/O Win,GF,GA,GF/GP,GA/GP,PP%,PK%,Net PP%,Net PK%,Shots/GP,SA/GP,FOW%
Philadelphia Flyers,11/5/2018,1,1,0,--,0,2,1,1,1,0,5,2,5,2,33.3,75,33.3,75,34,36,52.6
Philadelphia Flyers,11/8/2018,1,1,0,--,0,2,1,0,1,0,5,4,5,4,0,50,-50,50,31,34,63
Philadelphia Flyers,11/10/2018,1,1,0,--,0,2,1,1,1,0,4,0,4,0,0,100,0,100,25,33,40.4
Philadelphia Flyers,11/13/2018,1,0,1,--,0,0,0,0,0,0,1,2,1,2,0,66.7,0,66.7,31,30,68.3
Philadelphia Flyers,11/15/2018,1,0,1,--,0,0,0,0,0,0,0,3,0,3,0,100,0,100,29,27,54.7
Philadelphia Flyers,11/17/2018,1,0,0,--,1,1,0.5,0,0,0,5,6,5,6,60,25,60,25,45,26,53
Philadelphia Flyers,11/21/2018,1,0,1,--,0,0,0,0,0,0,2,5,2,5,0,66.7,0,66.7,25,21,58.3
Philadelphia Flyers,11/23/2018,1,1,0,--,0,2,1,1,1,0,4,0,4,0,0,100,0,100,46,31,58.7
Philadelphia Flyers,11/24/2018,1,0,1,--,0,0,0,0,0,0,0,6,0,6,--,--,--,--,34,41,58.7
Philadelphia Flyers,11/27/2018,1,0,1,--,0,0,0,0,0,0,3,4,3,4,--,100,--,100,37,24,55
Philadelphia Flyers,12/1/2018,1,1,0,--,0,2,1,1,1,0,4,2,4,2,0,100,0,200,26,32,63.8
Philadelphia Flyers,12/6/2018,1,0,0,--,1,1,0.5,0,0,0,3,4,3,4,0,100,0,100,26,30,54.7
Philadelphia Flyers,12/8/2018,1,1,0,--,0,2,1,1,1,0,6,2,6,2,0,100,0,200,41,30,56.7
Philadelphia Flyers,12/9/2018,1,0,1,--,0,0,0,0,0,0,1,7,1,7,0,50,-50,50,37,35,44.8
Philadelphia Flyers,12/12/2018,1,0,0,--,1,1,0.5,0,0,0,5,6,5,6,33.3,83.3,0,100,19,41,42.6
Philadelphia Flyers,12/14/2018,1,0,1,--,0,0,0,0,0,0,1,4,1,4,0,100,0,100,32,22,57.9
Philadelphia Flyers,12/15/2018,1,0,1,--,0,0,0,0,0,0,1,5,1,5,0,100,0,100,32,24,44.2
Philadelphia Flyers,12/18/2018,1,1,0,--,0,2,1,1,1,0,3,2,3,2,0,66.7,0,66.7,33,22,61.7
Philadelphia Flyers,12/20/2018,1,1,0,--,0,2,1,1,1,0,2,1,2,1,0,100,0,100,31,32,58.7
Philadelphia Flyers,12/22/2018,1,0,1,--,0,0,0,0,0,0,3,4,3,4,25,100,25,100,37,19,62.3
Philadelphia Flyers,12/23/2018,1,1,0,--,0,2,1,0,0,1,2,2,2,2,50,100,50,100,31,34,54.8
Philadelphia Flyers,12/27/2018,1,0,0,--,1,1,0.5,0,0,0,5,6,5,6,0,33.3,0,33.3,33,37,54.4
Philadelphia Flyers,12/29/2018,1,0,1,--,0,0,0,0,0,0,1,2,1,2,0,66.7,0,66.7,35,36,71
Philadelphia Flyers,12/31/2018,1,0,1,--,0,0,0,0,0,0,1,3,1,3,0,100,0,100,23,33,59.7
Philadelphia Flyers,1/1/2019,1,0,1,--,0,0,0,0,0,0,0,4,0,4,0,100,0,100,32,30,72.9
Philadelphia Flyers,1/3/2019,1,0,1,--,0,0,0,0,0,0,3,5,3,5,40,50,40,50,37,28,58.7
Philadelphia Flyers,1/5/2019,1,0,0,--,1,1,0.5,0,0,0,2,3,2,3,25,100,25,100,34,32,55.4
Philadelphia Flyers,1/7/2019,1,0,1,--,0,0,0,0,0,0,0,3,0,3,0,100,0,100,25,37,61
Philadelphia Flyers,1/8/2019,1,0,1,--,0,0,0,0,0,0,3,5,3,5,0,75,-20,75,40,25,70.3
Philadelphia Flyers,1/10/2019,1,1,0,--,0,2,1,1,1,0,2,1,2,1,0,100,0,100,22,38,47.5
Philadelphia Flyers,1/12/2019,1,0,1,--,0,0,0,0,0,0,2,3,2,3,0,100,0,100,34,26,53.9
Philadelphia Flyers,1/14/2019,1,1,0,--,0,2,1,1,1,0,7,4,7,4,20,66.7,20,66.7,27,38,64.4
Philadelphia Flyers,1/16/2019,1,1,0,--,0,2,1,1,1,0,4,3,4,3,33.3,75,33.3,75,19,42,43.1
Philadelphia Flyers,1/19/2019,1,1,0,--,0,2,1,1,1,0,5,2,5,2,0,100,0,100,24,35,50
Philadelphia Flyers,1/28/2019,1,1,0,--,0,2,1,1,1,0,3,1,3,1,0,66.7,0,66.7,31,32,57.1
