Team,Game Date,GP,W,L,T,OT,P,P%,RW,ROW,S/O Win,GF,GA,GF/GP,GA/GP,PP%,PK%,Net PP%,Net PK%,Shots/GP,SA/GP,FOW%
Philadelphia Flyers,2/11/2012,1,0,1,--,0,0,0,0,0,0,2,5,2,5,0,57.1,0,57.1,33,26,57.7
Philadelphia Flyers,2/12/2012,1,0,1,--,0,0,0,0,0,0,3,4,3,4,0,60,0,60,29,25,49
Philadelphia Flyers,2/16/2012,1,1,0,--,0,2,1,1,1,0,7,2,7,2,66.7,100,66.7,100,35,29,50.7
Philadelphia Flyers,2/18/2012,1,0,1,--,0,0,0,0,0,0,4,6,4,6,16.7,100,-16.7,100,31,30,43.3
Philadelphia Flyers,2/21/2012,1,1,0,--,0,2,1,0,1,0,5,4,5,4,33.3,0,33.3,0,55,26,56.1
Philadelphia Flyers,2/23/2012,1,0,1,--,0,0,0,0,0,0,0,2,0,2,0,50,0,50,35,30,33.3
Philadelphia Flyers,2/25/2012,1,1,0,--,0,2,1,0,0,1,4,4,4,4,14.3,66.7,0,66.7,45,21,55.9
Philadelphia Flyers,2/28/2012,1,0,1,--,0,0,0,0,0,0,0,1,0,1,0,100,0,100,26,23,38.1
Philadelphia Flyers,3/1/2012,1,1,0,--,0,2,1,1,1,0,6,3,6,3,100,100,100,100,30,24,52
Philadelphia Flyers,3/4/2012,1,1,0,--,0,2,1,1,1,0,1,0,1,0,0,--,0,--,23,34,44.4
Philadelphia Flyers,3/6/2012,1,1,0,--,0,2,1,1,1,0,3,2,3,2,0,100,0,125,23,39,34.6
Philadelphia Flyers,3/8/2012,1,1,0,--,0,2,1,1,1,0,5,0,5,0,50,100,50,100,35,28,46
Philadelphia Flyers,3/10/2012,1,1,0,--,0,2,1,0,0,1,0,0,0,0,--,100,--,100,27,29,38.3
Philadelphia Flyers,3/11/2012,1,0,1,--,0,0,0,0,0,0,1,4,1,4,0,60,0,60,19,31,51.8
Philadelphia Flyers,3/13/2012,1,1,0,--,0,2,1,1,1,0,3,0,3,0,0,100,0,100,29,17,57.6
Philadelphia Flyers,3/15/2012,1,1,0,--,0,2,1,1,1,0,3,2,3,2,--,100,--,100,22,31,51
Philadelphia Flyers,3/17/2012,1,0,0,--,1,1,0.5,0,0,0,2,2,2,2,25,100,25,100,29,33,36.4
Philadelphia Flyers,3/18/2012,1,1,0,--,0,2,1,0,1,0,3,2,3,2,25,100,25,100,27,40,57.1
Philadelphia Flyers,3/20/2012,1,0,1,--,0,0,0,0,0,0,1,2,1,2,0,50,0,50,36,13,62.3
Philadelphia Flyers,3/22/2012,1,1,0,--,0,2,1,0,0,1,1,1,1,1,0,100,0,100,28,31,44.4
Philadelphia Flyers,3/24/2012,1,1,0,--,0,2,1,1,1,0,4,1,4,1,60,100,60,100,33,24,56.3
Philadelphia Flyers,3/26/2012,1,0,1,--,0,0,0,0,0,0,3,5,3,5,16.7,66.7,0,66.7,38,15,54.2
Philadelphia Flyers,3/29/2012,1,1,0,--,0,2,1,1,1,0,7,1,7,1,33.3,100,33.3,133.3,30,17,42.9
Philadelphia Flyers,3/31/2012,1,0,0,--,1,1,0.5,0,0,0,3,3,3,3,0,100,0,100,39,29,53.3
Philadelphia Flyers,4/1/2012,1,1,0,--,0,2,1,1,1,0,6,4,6,4,33.3,80,33.3,80,26,47,47.8
Philadelphia Flyers,4/3/2012,1,0,1,--,0,0,0,0,0,0,3,5,3,5,12.5,50,12.5,50,40,24,48.2
Philadelphia Flyers,4/5/2012,1,1,0,--,0,2,1,1,1,0,2,1,2,1,0,100,0,100,35,26,52.1
Philadelphia Flyers,4/7/2012,1,0,1,--,0,0,0,0,0,0,2,4,2,4,16.7,75,16.7,75,21,23,34
Philadelphia Flyers,1/19/2013,1,0,1,--,0,0,0,0,0,0,1,3,1,3,0,33.3,0,33.3,27,27,43.6
Philadelphia Flyers,1/20/2013,1,0,1,--,0,0,0,0,0,0,2,5,2,5,25,50,25,50,29,41,46.3
Philadelphia Flyers,1/22/2013,1,0,1,--,0,0,0,0,0,0,0,3,0,3,0,85.7,-16.7,85.7,24,26,52.7
Philadelphia Flyers,1/24/2013,1,1,0,--,0,2,1,1,1,0,2,1,2,1,33.3,75,33.3,75,33,19,45
Philadelphia Flyers,1/26/2013,1,1,0,--,0,2,1,1,1,0,7,1,7,1,28.6,100,28.6,100,26,31,39.7
Philadelphia Flyers,1/27/2013,1,0,1,--,0,0,0,0,0,0,1,5,1,5,0,60,0,60,25,26,53.1
Philadelphia Flyers,1/29/2013,1,0,1,--,0,0,0,0,0,0,1,2,1,2,16.7,50,16.7,50,27,28,34.4
Philadelphia Flyers,2/1/2013,1,0,1,--,0,0,0,0,0,0,2,3,2,3,0,100,0,100,31,26,58
Philadelphia Flyers,2/2/2013,1,1,0,--,0,2,1,1,1,0,5,3,5,3,100,83.3,100,83.3,24,42,45.5
Philadelphia Flyers,2/5/2013,1,1,0,--,0,2,1,1,1,0,2,1,2,1,0,100,0,100,24,22,45.6
Philadelphia Flyers,2/7/2013,1,0,0,--,1,1,0.5,0,0,0,2,2,2,2,25,75,25,75,32,24,54.4
Philadelphia Flyers,2/9/2013,1,1,0,--,0,2,1,0,1,0,4,3,4,3,0,100,0,100,32,33,52.9
Philadelphia Flyers,2/11/2013,1,0,1,--,0,0,0,0,0,0,2,5,2,5,0,100,0,100,46,24,56.3
Philadelphia Flyers,2/12/2013,1,1,0,--,0,2,1,1,1,0,3,2,3,2,25,100,25,100,23,26,39.3
Philadelphia Flyers,2/15/2013,1,0,1,--,0,0,0,0,0,0,3,5,3,5,100,100,100,100,28,19,55.8
Philadelphia Flyers,2/16/2013,1,0,1,--,0,0,0,0,0,0,1,4,1,4,0,100,0,100,19,29,43.3
Philadelphia Flyers,2/18/2013,1,1,0,--,0,2,1,1,1,0,7,0,7,0,50,100,50,100,25,19,46.3
